"","sub_id","condition","SMD","NAP","TAU_U","glmm","pmg","brms_raw"
"161",81,0,0.92,0.83,0.6,1.05442933680502,0.217391304347826,3.70034922343558
"162",81,1,8.88,1,1.08,1.2952665135548,0.708333333333333,16.3090516341601
"163",82,0,0.300222139978605,0.73,0.36,1.02019126630986,-0.04,1.73516697374904
"164",82,1,1.32115651815163,0.84,0.7,1.11747913782469,0.2578125,5.24036966437395
"165",83,0,1.90207317234148,0.88,0.74,1.0941367798605,0.0909090909090909,3.03168913367392
"166",83,1,3.25885274477403,0.97,1.04,1.17247988713382,0.296875,11.1671495119064
"167",84,0,2.26531153787649,0.94,0.82,1.1066910104964,0.279279279279279,6.14325609071362
"168",84,1,2.93440144908749,1,0.8,1.37310561901541,0.867256637168142,17.567002773044
"169",85,0,1.5009330431435,0.95,0.96,1.06263777119808,0.318181818181818,5.02588557489356
"170",85,1,2.2715881396187,0.93,0.7,1.3799805755766,0.946808510638298,16.7930635475505
"171",86,0,1.25219806739988,0.92,0.76,1.03304155224045,0.124087591240876,1.88435364825368
"172",86,1,2.61998863080203,0.92,0.82,1.25090665095066,0.448529411764706,12.1828268817785
"173",87,0,0.618133927429005,0.72,0.36,1.07556822830567,0.126984126984127,2.91241391379576
"174",87,1,4.87653272608433,0.96,0.92,1.15281438319709,0.444444444444444,8.35897244687185
"175",88,0,0.663089972543931,0.69,0.34,1.06437480450389,0.182692307692308,3.44662182531071
"176",88,1,1.38885932785079,0.88,0.74,1.09322073459074,0.107142857142857,5.11557963079998
"177",89,0,2.245268529426,0.92,0.74,1.12045633011451,0.1015625,3.72160594878394
"178",89,1,0.535550945116163,0.65,0.24,1.04535792983579,0.0495867768595041,4.47488211275854
"179",90,0,0.105500875743326,0.5,-0.08,1.03930336498914,0.0254237288135593,2.31157680746857
"180",90,1,1.01823376490863,0.8,0.46,1.06357413591754,0.25,4.0734980648443
"181",91,0,1.03323495299235,0.84,0.66,1.04992294874259,0.256198347107438,3.23977599154877
"182",91,1,10.88,1,0.92,1.41999441014888,0.888888888888889,20.1462489652667
"183",92,0,1.89877153268458,0.87,0.68,1.07993369603398,0.122137404580153,3.17574953215545
"184",92,1,0.623850293892043,0.72,0.26,1.08518541100765,0.112903225806452,4.70388079611862
"185",93,0,0.685755692331618,0.65,0.4,1.02689135651432,0.188034188034188,2.01465670378886
"186",93,1,6.59766192352586,1,1,1.15045220386605,0.312977099236641,9.44726207374747
"187",94,0,1.81674748618828,0.67,0.22,1.09294355515506,0.233870967741935,4.05638318592433
"188",94,1,4.45013209642991,0.99,0.94,1.29320088576238,0.747899159663866,17.5490479829691
"189",95,0,-0.268328157299975,0.41,-0.24,0.955016021511713,-0.092436974789916,-0.80165023150172
"190",95,1,10.0175845391991,0.9,0.78,1.4132025312562,0.700854700854701,18.6477273210521
"191",96,0,1.55034046439985,0.84,0.52,1.08023211061589,0.115044247787611,3.9525791241893
"192",96,1,3.67789686820258,0.93,0.94,1.37494358752953,0.78448275862069,18.7855820203161
"193",97,0,1.22714398215579,0.84,0.66,1.04322939486936,0.0476190476190476,3.03715921281285
"194",97,1,2.37808173267294,0.95,0.88,1.15122601269689,0.166666666666667,9.20111196565149
"195",98,0,0.347497794210455,0.68,0.22,1.0825220379932,0.166666666666667,2.4133428631792
"196",98,1,2.77771865570157,1,1,1.17164923651189,0.471544715447154,11.2687148913821
"197",99,0,2.26531153787649,0.93,0.72,1.09313832378487,0.274193548387097,3.64201542911102
"198",99,1,12.5259958258244,1,0.96,1.39317639292555,0.793388429752066,19.3510685436726
"199",100,0,1.04,0.74,0.48,0.97390599274061,0.0769230769230769,1.97797778939058
"200",100,1,6.03415917283236,1,1.02,1.25753123348192,0.452554744525548,13.8442414072869
